Date,PJME_MW
2017-10-29,24605.666666666668
2017-10-30,26786.291666666668
2017-10-31,27162.541666666668
2017-11-01,28511.458333333332
2017-11-02,27578.625
2017-11-03,26931
2017-11-04,24362.208333333332
2017-11-05,24637.666666666668
2017-11-06,27089.416666666668
2017-11-07,28801.333333333332
2017-11-08,29431.916666666668
2017-11-09,29137.583333333332
2017-11-10,29836.583333333332
2017-11-11,30820.791666666668
2017-11-12,29326.791666666668
2017-11-13,30830.833333333332
2017-11-14,30816.083333333332
2017-11-15,30189.666666666668
2017-11-16,28905.916666666668
2017-11-17,29501.333333333332
2017-11-18,28752.875
2017-11-19,26256.25
2017-11-20,30371.75
2017-11-21,29919.791666666668
2017-11-22,29217.375
2017-11-23,28164.916666666668
2017-11-24,28444.5
2017-11-25,26937.083333333332
2017-11-26,26427.25
2017-11-27,29473.666666666668
2017-11-28,29832.333333333332
2017-11-29,28853.625
2017-11-30,29845.375
2017-12-01,28931.041666666668
2017-12-02,28772.541666666668
2017-12-03,28139.958333333332
2017-12-04,31196.833333333332
2017-12-05,29750.666666666668
2017-12-06,30350.166666666668
2017-12-07,31645.291666666668
2017-12-08,32779.291666666664
2017-12-09,32562.625
2017-12-10,31846.25
2017-12-11,32959.041666666664
2017-12-12,33249.791666666664
2017-12-13,37373.875
2017-12-14,35657.458333333336
2017-12-15,37612.25
2017-12-16,34011.958333333336
2017-12-17,31386.75
2017-12-18,31808.583333333332
2017-12-19,30451.333333333332
2017-12-20,31291.833333333332
2017-12-21,33088.208333333336
2017-12-22,32009.333333333332
2017-12-23,28380.25
2017-12-24,28308.791666666668
2017-12-25,29923.208333333332
2017-12-26,34361.916666666664
2017-12-27,37027.875
2017-12-28,39963.208333333336
2017-12-29,39392.458333333336
2017-12-30,37419.041666666664
2017-12-31,39016
2018-01-01,40191.041666666664
2018-01-02,41627.333333333336
2018-01-03,40852.75
2018-01-04,41065
2018-01-05,44197.791666666664
2018-01-06,43565.75
2018-01-07,42159.708333333336
2018-01-08,40300.666666666664
2018-01-09,35337.375
2018-01-10,35223.875
2018-01-11,31735.208333333332
2018-01-12,29211.041666666668
2018-01-13,30532.666666666668
2018-01-14,36703.25
2018-01-15,39257.75
2018-01-16,36168.333333333336
2018-01-17,37451.208333333336
2018-01-18,38379.75
2018-01-19,35442.75
2018-01-20,30604.416666666668
2018-01-21,29108.125
2018-01-22,29872.041666666668
2018-01-23,29773.833333333332
2018-01-24,32071.458333333332
2018-01-25,34302.666666666664
2018-01-26,34354.958333333336
2018-01-27,29843.791666666668
2018-01-28,27356.541666666668
2018-01-29,31443.833333333332
2018-01-30,34895.541666666664
2018-01-31,37180.125
2018-02-01,33615.458333333336
2018-02-02,35327.125
2018-02-03,35505.5
2018-02-04,32805.666666666664
2018-02-05,34204.791666666664
2018-02-06,35783.833333333336
2018-02-07,35824.75
2018-02-08,35158.125
2018-02-09,35460.125
2018-02-10,30496.708333333332
2018-02-11,27919.916666666668
2018-02-12,30144.791666666668
2018-02-13,33038.458333333336
2018-02-14,31439.916666666668
2018-02-15,29138.375
2018-02-16,28378.958333333332
2018-02-17,30211.708333333332
2018-02-18,28892.041666666668
2018-02-19,31447.75
2018-02-20,28487.791666666668
2018-02-21,27572.5
2018-02-22,28859.208333333332
2018-02-23,30894.333333333332
2018-02-24,27537
2018-02-25,27246.041666666668
2018-02-26,29406.833333333332
2018-02-27,29694.041666666668
2018-02-28,28915.166666666668
2018-03-01,28720.208333333332
2018-03-02,30858.083333333332
2018-03-03,28436.791666666668
2018-03-04,27950.583333333332
2018-03-05,31451.458333333332
2018-03-06,31596.291666666668
2018-03-07,32257.333333333332
2018-03-08,31934.208333333332
2018-03-09,32586.833333333332
2018-03-10,30027.458333333332
2018-03-11,28337.739130434784
2018-03-12,32489.166666666668
2018-03-13,32829.916666666664
2018-03-14,33399.083333333336
2018-03-15,32337.208333333332
2018-03-16,31942.166666666668
2018-03-17,30140.833333333332
2018-03-18,28018.416666666668
2018-03-19,30023.958333333332
2018-03-20,33334.666666666664
2018-03-21,33738.166666666664
2018-03-22,31931.416666666668
2018-03-23,30775.958333333332
2018-03-24,28216.291666666668
2018-03-25,28642.375
2018-03-26,30686.708333333332
2018-03-27,31483
2018-03-28,30032.833333333332
2018-03-29,27923.291666666668
2018-03-30,26191
2018-03-31,25214.041666666668
2018-04-01,24265
2018-04-02,29014.208333333332
2018-04-03,30574.458333333332
2018-04-04,28911.083333333332
2018-04-05,30203.833333333332
2018-04-06,29153.833333333332
2018-04-07,26862.5
2018-04-08,27447
2018-04-09,30637.5
2018-04-10,29610.291666666668
2018-04-11,29411.5
2018-04-12,27810.958333333332
2018-04-13,26463.541666666668
2018-04-14,24966.958333333332
2018-04-15,25127
2018-04-16,28658.625
2018-04-17,29924.833333333332
2018-04-18,28888.958333333332
2018-04-19,28949.958333333332
2018-04-20,28522.791666666668
2018-04-21,25499.166666666668
2018-04-22,23878.875
2018-04-23,26121.125
2018-04-24,26505.166666666668
2018-04-25,26959.958333333332
2018-04-26,25847.041666666668
2018-04-27,26166.875
2018-04-28,23777.708333333332
2018-04-29,23541.916666666668
2018-04-30,26895.333333333332
2018-05-01,26626.916666666668
2018-05-02,28349.666666666668
2018-05-03,32229.541666666668
2018-05-04,32975.291666666664
2018-05-05,26163.125
2018-05-06,23796.083333333332
2018-05-07,26640.541666666668
2018-05-08,27005.75
2018-05-09,27441.708333333332
2018-05-10,27695.833333333332
2018-05-11,27865.333333333332
2018-05-12,25662.083333333332
2018-05-13,24001.5
2018-05-14,27317.833333333332
2018-05-15,31481.666666666668
2018-05-16,29049.833333333332
2018-05-17,28035.208333333332
2018-05-18,27227.833333333332
2018-05-19,24720.291666666668
2018-05-20,27146.333333333332
2018-05-21,29615.458333333332
2018-05-22,28450
2018-05-23,29923.125
2018-05-24,30461.5
2018-05-25,31925.541666666668
2018-05-26,33316.916666666664
2018-05-27,28984.208333333332
2018-05-28,25457.458333333332
2018-05-29,32802.083333333336
2018-05-30,32784.833333333336
2018-05-31,31445
2018-06-01,34767.416666666664
2018-06-02,33292.125
2018-06-03,26070.291666666668
2018-06-04,27152.75
2018-06-05,28280.958333333332
2018-06-06,27839
2018-06-07,28615.708333333332
2018-06-08,30924.625
2018-06-09,30465.583333333332
2018-06-10,27027.458333333332
2018-06-11,27287.958333333332
2018-06-12,27915.083333333332
2018-06-13,31366.75
2018-06-14,33066.708333333336
2018-06-15,30615.041666666668
2018-06-16,29337.041666666668
2018-06-17,32630
2018-06-18,40541.291666666664
2018-06-19,40480.583333333336
2018-06-20,35744.583333333336
2018-06-21,35393.166666666664
2018-06-22,31334.333333333332
2018-06-23,27684.875
2018-06-24,31802.708333333332
2018-06-25,33504.125
2018-06-26,31780.416666666668
2018-06-27,31319.75
2018-06-28,36902.333333333336
2018-06-29,38875.875
2018-06-30,38415.541666666664
2018-07-01,40584.833333333336
2018-07-02,45218.125
2018-07-03,45258.041666666664
2018-07-04,39652.791666666664
2018-07-05,42402.375
2018-07-06,39145.25
2018-07-07,28926.5
2018-07-08,28616.791666666668
2018-07-09,34410.166666666664
2018-07-10,38866.125
2018-07-11,39699.583333333336
2018-07-12,36770.458333333336
2018-07-13,36047.166666666664
2018-07-14,34942.666666666664
2018-07-15,34204.083333333336
2018-07-16,41897.083333333336
2018-07-17,41080.875
2018-07-18,36402.458333333336
2018-07-19,34624.541666666664
2018-07-20,34887.708333333336
2018-07-21,29329.75
2018-07-22,31062.25
2018-07-23,37556.375
2018-07-24,38382.875
2018-07-25,37062.166666666664
2018-07-26,38221.166666666664
2018-07-27,38191.5
2018-07-28,34495.75
2018-07-29,32162.916666666668
2018-07-30,32957.416666666664
2018-07-31,34539.083333333336
2018-08-01,39230.791666666664
2018-08-02,39593.041666666664
2018-08-03,35486
